actividad,latitud,longitud,categoria,web,descripcion
Palacio Guell,41.37908719,2.174439558,Destacable,http://palauguell.cat/,"El Palau Guell, con silla de ruedas, no es visitable en su totalidad. Sin embargo hay un itinerario adaptado que permite visitar las partes mas destacadas del edificio. Se accede a las diferentes salas mediante escaleras o ascensor alternativo, excepto la sala del subterraneo a la que solo se accede mediante una rampa de 26 metros de larga y una inclinacion del 16%."
La Monumental,41.40026,2.181534863,Destacable,https://www.monumental-club.com/,"Plaza de toros modernista de 1914 que se usa para conciertos y espectaculos, y alberga un museo del toreo."
Plaza de Sant Jaume,41.38254213,2.177173568,Monumentos,http://www.barcelonaturisme.com/,"Centro politico desde los inicios de la historia de la ciudad, la plaza Sant Jaume es tambien un pulmon abierto al corazon del Barrio Gotico. Aqui se levantan los edificios mas importantes para la vida barcelonesa y catalana: la Casa de la Ciudad o Ayuntamiento y el Palacio de la Generalitat"
Plaza del Rey,41.38044055,2.174975934,Monumentos,http://www.barcelonaturisme.com/,"El conjunto monumental de la Plaça del Rei de Barcelona es, probablemente, el rincon gotico que mejor ejemplifica el pasado medieval de la ciudad. El Palau Reial Major y las dependencias que lo rodearon cierran una plaza armonica y tranquila donde parece que todavia ser respira el pasado glorioso de Barcelona en la Edad Media."
Basilica de Santa Maria del Pi,41.38233931,2.173794256,Iglesias,http://www.basilicadelpi.com,"La basilica es una iglesia de mas de 600 años. Esta en el barrio Gotico de la ciudad. En la iglesia hay una exposicion de historia y un museo con una coleccion de objetos religiosos de oro y plata. Tambien hay una cripta con una capilla en el sotano. La iglesia organiza visitas guiadas de 2 horas al campanario. La basilica tiene una sola sala en el interior. Hay escaleras para ir a la sala del video de historia de la iglesia, para subir al campanario, para bajar a la cripta y para ir al jardin y los cuartos de baño. Hay una rampa para entrar al museo."
Parlamento de Cataluña,41.38976949,2.189023281,Monumentos,http://www.parlament.cat,"El Parlament de Catalunya esta dentro del Parque de la Ciutadella. El edificio existe desde hace mas de 80 años. Antes era un almacen de armas. El edificio tiene el suelo en forma de cruz, 4 patios y una gran cupula en el centro. Ademas, tiene muchos objetos historicos en su decoracion. El Parlament tiene 2 plantas. En la planta baja esta la recepcion, los controles de seguridad, un patio dedicado a conferencias, 2 cuartos de baño, una tienda de recuerdos, una biblioteca y el restaurante de los parlamentarios. En la planta de arriba estan las salas de reuniones y grupos de trabajo, el salon de plenos de los parlamentarios, despachos, sala de los pasos perdidos con asientos para descansar y 2 cuartos de baño. Hay escaleras y ascensor para subir y bajar entre las plantas."
La Estrella herida,41.37819987,2.190998111,Monumentos,http://www.barcelonaturisme.com/,"Cuatro cubos desencajados que se apilan desordenadamente forman la escultura L'Estel Ferit (La Estrella Herida); sin embargo, todo el mundo la conoce como ""Los Cubos"". Este monumento tan popular entronca perfectamente con el gusto de la Barcelona olimpica por el arte innovador. Su simbolismo, ademas, esta del todo ligado con el pasado del barrio de la Barceloneta."
Gato. Fernando Botero,41.38095196,2.169388581,Monumentos,http://www.barcelonaturisme.com/wv3/es/page/1226/gat-fernando-botero.html,"Es todo un simbolo de Barcelona y del barrio del Raval. Parece que al final de la Rambla de este barrio el Gato se encuentra a gusto, despues de haber pasado nada mas y nada menos que 15 años buscando casa. El Gato de Botero es recibido por todos con una sonrisa en los labios. Solo tiene un competidor: el Caballo del mismo autor."
Cementerio de Poblenou,41.39444175,2.201641311,Monumentos,http://www.cbsa.cat,El cementerio de Poblenou esta en el barrio de Poblenou. Es uno de los cementerios mas antiguos de la ciudad. Muchas de sus tumbas son obras de arte. El cementerio tiene una entrada por la Avingua Icaria y otra por la calle Taulat. El cementerio tiene pasillos en 3 alturas. Hay escaleras y rampas para subir y bajar. Hay visitas guiadas en el cementerio por un camino accesible.
Parroquia Sant Andreu del Palomar,41.43982208,2.1900173,Iglesias,http://www.sant-andreu.com/entittats/parroquiastap,La parroquia esta en el barrio de Sant Andreu. La iglesia existe desde hace mas 1.000 años. Ha sido destruida y reconstruida varias veces. Junto a la iglesia esta la conocida Capella del Segadors. El pintor Josep Verdaguer pinto varias escenas del Evangelio y Sant Andreu hace 60 años. La entrada por la Plaza Orfila tiene 3 escalones. La entrada por el Carrer del Pont tiene escalera y rampa. La iglesia tiene una sala central y pasillos a los lados con capillas. El altar esta en el centro de la iglesia. Detras del altar hay murales con pinturas religiosas. Al lado de la iglesia hay un centro parroquial para reuniones de grupos.
Sant Pau Recinto Modernista,41.41241647,2.175760048,Monumentos,http://www.santpaubarcelona.org,"El monumento es un antiguo hospital. Es el monumento de estilo artistico modernista mas grande del mundo. El arquitecto fue Lluis Domenech i Montaner. El monumento esta rodeado de jardines, pasillos subterraneos, esculturas, cristales de color y mosaicos en el suelo. El monumento tiene 6 plantas. En el sotano estan los cuartos de baño y la entrada a los pasillos subterraneos. En la planta baja esta la entrada, la taquilla y los cuartos de baño. En las plantas 1 y 2 hay salas de exposiciones. Las plantas 3 y 4 estan cerradas a los visitantes. Hay escaleras y ascensor para subir y bajar entre las plantas. Hay patios interiores con jardines. Hay edificios dentro del monumento. Son los antiguos pabellones. La mayoria de los pabellones tiene cuartos de baño."
Monumento Font Magica,41.37197951,2.152778226,Monumentos,http://www.bcn.es/fontmagica,"La fuente esta en el barrio de Montjuic. Es una fuente de agua que ofrece un espectaculo. En el espectaculo, la fuente combina de miles de formas los chorros de agua y la luz por ordenador. La fuente es un monumento al aire libre. Hay 2 entradas a los lados y hay escaleras. Hay bancos para descansar alrededor de la fuente y quioscos para merendar."
Cementerio de Montjuic,41.35439614,2.149011846,Monumentos,https://www.cbsa.cat/cementiris/cementiri-montjuic/,"El cementerio ocupa uno de los lados de la montaña de Montjuic. Existe desde hace mas de 100 años y esta dividido en 14 zonas. Las tumbas son de muchos estilos artisticos. Dentro del cementerio esta el “Fossar de la Pedrera”, que recuerda a las 4.000 personas muertas despues de la Guerra Civil en la dictadura de Franco. Tambien esta el monumento a Lluis Company, presidente de la Generalitat de Catalunya en los años 30 del siglo 20. Lluis Companys fue fusilado despues de la Guerra Civil en la dictadura de Franco. Hay algunos escalones y rampas en los caminos dentro del cementerio."
Archivo historico de la ciudad,41.38474325,2.175899681,Monumentos,http://www.bcn.cat/arxiu/historic,"Este monumento es la antigua casa del arcediano. Hace varios siglos, el arcediano era una persona importante en la administracion de la catedral. Desde el siglo 19, la casa ha tenido varios usos: vivienda de una familia rica, edificio principal del colegio de abogados de Barcelona y ahora edificio principal del Archivo Historico de Barcelona. Hay una rampa y una escalera en la entrada del monumento hasta el patio central. Solo hay escaleras para subir a la terraza. Detras del patio hay una sala de exposicion y el Archivo Historico de la Ciudad. Hay una escalera y una rampa para subir desde el patio."
Museo de Arte Contemporaneo de Barcelona,41.38322314,2.166969713,Museos,https://www.macba.cat,"Diseñado por el arquitecto norteamericano Richard Meier, es concebido como un edificio de trazado longitudinal de 120 x 35 m de base, en el cual se inserta una pieza base circular que atraviesa verticalmente las cuatro plantas, y a partir de la cual se articulan las diferentes zonas de exposicion. El Museo, ademas de las tres plantas de exposicion, consta de un Auditorio y de una libreria. Las salas de exposiciones estan distribuidas en las plantas baja (coleccion permanente) y 1ª y 2ª del Museo (exposiciones temporales). Se accede a estas por medio de escaleras, ascensor o rampa. Entrada gratuita a las exposiciones (que incluye a un acompañante) presentando documento acreditativo de la situacion de discapacidad."
Casa de las Alturas,41.41955119,2.170054351,Museos,http://www.bcn.cat/horta-guinardo,"La Casa de las Alturas es la sede de las oficinas del ayuntamiento de Barcelona en el distrito de Horta-Guinardo. Antes habia bombas impulsaban el agua hacia los depositos en la Torre Baro. De aqui viene el nombre de Casa de las Alturas. Desde la Torre, los ciudadanos de Barcelona recibian el agua. El edificio tiene 4 plantas. En la planta baja esta la recepcion, los cuartos de baño y una sala de reuniones. En el sotano estan los cuartos de baño adaptados para personas con discapacidad y el salon de actos. Las plantas de arriba estan cerradas para los visitantes."
Palacio del Congreso de Cataluña,41.38351275,2.109683126,Museos,http://www.pcongressos.com,"El palacio de congresos es un lugar dedicado a actividades, exposiciones y reuniones de negocios. Los arquitectos consiguieron el Premio Nacional de Arquitectura por este edificio en 2001. El palacio de congresos es parte del Hotel Rey Juan Carlos I. Esta en la parte alta de la Avenida Diagonal. El palacio de congresos tiene 4 plantas. El palacio tiene una sala de exposiciones, salas de actividades, un auditorio, salas de conferencias, sala de prensa y camerinos para actores, una cafeteria y guardarropa. Hay ascensores, escaleras y escaleras mecanicas para subir y bajar entre las plantas."
Palacio del Congreso de Barcelona,41.37304842,2.151723461,Museos,https://www.firabcn.es,"El palacio de congresos es un lugar dedicado a actividades, exposiciones y reuniones de negocios. Esta en el recinto ferial de Montjuic. El palacio de congresos es el pabellon numero 5 del recinto ferial de Montjuic. El palacio tiene 4 plantas. La entrada es por la Plaza del Univers al nivel 0 y por una calle lateral al nivel 1. El nivel 0 es para exposiciones y ferias. El nivel 1 tiene un espacio para exposiciones. El nivel 2 tiene 2 salas de reuniones, 2 salas de teatro y una sala solo para invitados. Tambien hay un mostrador para registro de visitantes, un guardarropa y la cafeteria. En el nivel 3 esta el auditorio, 3 salas de teatros y una sala de reuniones. Hay ascensores para subir y bajar entre las plantas. Solo hay escaleras para entrar a 2 salas del nivel 3."
Palacio del Baron de Cuadras,41.39677582,2.1613396,Museos,http://www.palaubaroquadres.llull.cat,"El palacio era propiedad de un empresario llamado Manuel de Quadras i Feliu. El arquitecto del palacio fue Josep Puig i Cadafalch. El edificio tiene 2 fachadas, una a la calle Rossello y otra a la Avenida Diagonal. Cada fachada tiene un estilo diferente. La decoracion interior es de ceramica y con esculturas que recuerdan a la Edad Media. Desde el año 2013 estan las oficinas del Institut Ramon Llull. El palacio tiene 7 plantas. En el sotano estan los cuartos de baño. La visita es solo en la entrada de la planta baja y la planta 1. La visita recorre solo 2 salas."
Casa Vicens,41.40465529,2.15845595,Museos,https://casavicens.org/es/,"La Casa Vicens (1883-1885) de Barcelona, declarada Patrimonio de la Humanidad por la UNESCO en 2005, se levanta en el tranquilo barrio de Gracia, como un oasis insolito de aroma oriental y mudejar, cubierto de espectaculares baldosas verdes y blancas"
La Virreina. Centro de la imagen,41.38252974,2.171726399,Museos,https://ajuntament.barcelona.cat/lavirreina/ca,"El palacio de la Virreina​​ es un palacio urbano situado en la La Rambla, en la ciudad de Barcelona. El edificio constituye uno de los mejores exponentes de la arquitectura civil de estilo barroco de Cataluña."
CaixaForum,41.37132601,2.149593513,Museos,www.laCaixa.es/ObraSocial,"CaixaForum, el Museo y Centro Cultural de la Obra Social ""La Caixa"", se halla en uno de los espacios mas emblematicos de Barcelona: la antigua fabrica Casaramona, una joya modernista del modernismo industrial, obra de Josep Puig i Cadafalch."
Museo de la Historia de Cataluña,41.37107816,2.166220058,Museos,www.mhcat.cat,"Creado en 1996 en Barcelona con el objetivo de difundir la historia de Catalunya, el Museo de Historia de Catalunya se ubico en el edificio que habia sido la sede de los antiguos almacenes del Port Vell, construido en 1900 y conocido como Palau del Mar."
Museo Arqueologico de Cataluña,41.37018541,2.15766402,Museos,www.mac.cat,"El Museo de Arqueologia de Catalunya esta situado en el Antiguo Palacio de las Artes Graficas de Montjuïc de Barcelona y propone al visitante un viaje en el tiempo para descubrir las raices del pueblo catalan, sin olvidar las culturas del resto de la peninsula iberica y del Mediterraneo que se relacionaron con el."
Casa Amarller,41.39161297,2.165112891,Museos,http://www.casino-barcelona.com,Esta casa es un palacio de mas de 100 años diseñado por el arquitecto Josep Puig i Cadafalch. Las entradas con formas desiguales son llamativas. Hay visitas guiadas. El palacio tiene 6 plantas. La unica planta abierta a las visitas es la planta 1.
Filmoteca de Cataluña,41.37906331,2.170717674,Museos,http://www.filmoteca.cat,"La filmoteca es una institucion dedicada a guarda y conservar peliculas. Hay dos edificios de la filmoteca. Uno esta en el barrio de El Raval de Barcelona. El otro esta en la ciudad de Tarrasa. En el edificio de El Raval hay sesiones de cine, exposiciones y una biblioteca con libros sobre el cine. Las peliculas son siempre en el idioma original con subtitulos en catalan o en castellano. La filmoteca tiene 4 plantas. Hay 2 salas para ver peliculas en el sotano -2. La sala de exposiciones esta en el sotano -1. La taquilla y el mostrador de atencion al publico estan en la planta baja. La biblioteca esta en la planta 1. Hay ascensor y escaleras para subir y bajar entre las plantas."
Bus turistico Barcelona,41.38971743,2.170685852,Ocio,http://www.barcelonabusturistic.cat,"El bus turistico tiene 3 rutas. La ruta roja va desde la Plaza de Catalunya a Parque de la Ciutadella. La ruta verde va del Puerto Olimpico a Poblenou. La ruta azul va de la Plaza de Catalunya al Museo de Arte Contemporaneo de Barcelona. El bus tiene el certificad de excelencia de Tripadvisor. Este certificado indica que este bus es un buen servicio para los turistas. Los autobuses tienen 2 plantas. La planta de arriba es descubierta. Los usuarios pueden comprar los billetes de autobus en el propio autobus, en los puntos de venta de TMB, en oficinas turisticas, en hoteles, en quioscos de prensa y en librerias. Hay billetes de 1 dia y de 2 dias. Puedes subir al autobus tantas veces como quieras. Los autobuses salen cada 25 minutos."
Base Nautica de la Mar Bella,41.39685089,2.209809942,Ocio,http://www.basenautica.org,"La base nautica organiza cursos de deportes acuaticos, como vela, remo o windsurf. Organiza cursos para monitores y actividades de verano para niños y socios. Tambien tiene un taller de reparacion de barcos y vehiculos acuaticos. La base esta en una sola planta baja sin escalones ni rampas. El edificio es para dar clases. El edificio tiene vestuarios, cuartos de baño, taller, bar y cafeteria con terraza."
Cine Texas,41.40313473,2.163659358,Ocio,http://www.cinemestexas.cat,"El cine esta en el barrio de Gracia y tiene 4 salas. El cine ofrece peliculas antiguas o de hace unos años. Son peliculas de reestreno. Las peliculas estan en el idioma original con subtitulos. Tambien organizan sesiones especiales para grupos, maratones de peliculas sobre un tema, presentaciones y peliculas clasicas. El cine tiene 3 plantas. En la planta baja esta la taquilla y un cuarto de baño adaptado para personas con discapacidad. En el sotano estan las salas 3 y 4 y otro cuarto de baño adaptado para personas con discapacidad. En la planta 1 estan las salas 1 y 2 y los cuartos de baño comunes. Hay escaleras y plataformas elevadoras para personas en silla de ruedas para subir y bajar entre las plantas. Solo hay escaleras para ir a los cuartos de baño de la planta 1."
Parque temático Tibidabo,41.42161844,2.118740286,Ocio,http://www.tibidabo.cat,"El parque de atracciones esta en la montaña del Tibidabo. Es un parque extenso y tiene vistas bonitas sobre Barcelona. Es el parque de atracciones mas antiguo de España y el tercero mas antiguo de Europa. El parque tiene 6 niveles. Solo el nivel 3 esta cerrado al publico. El parque tiene 4 entradas. Una entrada esta en las paradas de autobuses. Otras dos entradas estan en el nivel 6. La ultima entrada es por el aparcamiento en el nivel 1. El recorrido es desde el nivel 6 al nivel 1. Hay cuartos de baño adaptados para las personas con discapacidad en los niveles 1, 4, 5 y 6. El aparcamiento tiene plazas reservadas para personas con discapacidad."
Teleferico del Puerto,41.37325015,2.187875716,Ocio,http://www.telefericodebarcelona.com/,"El transbordador aereo que enlaza el puerto con Miramar, en la ladera de Montjuic, fue ideado en 1926 por Carles Buigas, con Ramon Calzada y Josep M. Roda como colaboradores, a fin de conectar la exposicion de 1929 con su seccion maritima."
Teleferico de Montjuic,41.36885057,2.163051362,Ocio,http://www.telefericdemontjuic.cat,"El teleferico es una cabina colgante de un cable que permite ver la ciudad desde las alturas. El recorrido es de menos de 1 kilometro. El teleferico esta cerca del Pueblo Español, el Anillo Olimpico o el Museo Nacional de Arte de Cataluña. El Teleferico tiene 3 estaciones: Parc Montjuic, Castell y Mirador. Hay escaleras y rampas para entrar en las estaciones."
Zoo de Barcelona,41.38615367,2.187187014,Ocio,https://www.zoobarcelona.cat/,"Zoo en un parque con animales exoticos en habitats naturales, y espectaculos de delfines y leones marinos."
Parque de Atracciones Pueblo español,41.3691481,2.146743081,Ocio,http://www.poble-espanyol.com,"El Poble Espanyol es un recinto con copias de edificios monumentales de España. Esta en Montjuic. Dentro del Poble Espanyol hay tiendas, restaurantes y talleres de oficios antiguos. Hay diferentes niveles y alturas porque el Poble Espanyol esta en un lado de la montaña de Montjuic. En el nivel 1 hay una exposicion de pintura. Hay ascensor y escaleras para llegar. Alrededor del recinto hay tiendas y restaurantes de todas las regiones de España. Hay zonas inaccesibles para personas en silla de ruedas, como la Plaza de la Hermandad, la Plaza de la Font, el jardin de esculturas o el monasterio romanico de San Miguel. Hay obras en esta zona para hacer un camino accesible."
Sala Flyhard,41.37313508,2.141837857,Ocio,http://www.salaflyhard.com,"Sala de conciertos y espectaculos adaptada con baños adaptados. Situada en el barrio de Sants, programa obras de teatro de autores catalanes actuales."
Parque del Forum,41.41261674,2.224228405,Parques y naturaleza,http://www.parcdelforum.cat,"El parque es una zona de ocio y actividades de tiempo libre de la ciudad. La entrada esta en la Plaza de Leonardo da Vinci. El parque tiene 2 importantes edificios: el Museo de Ciencias Naturales y el Centro de Convenciones Internacional de Barcelona. El Parque del Forum tiene varias zonas de actividades. Hay escaleras y rampas para ir de una zona a otra. El Bosc Urba es una zona de actividades deportivas y de aventura, como tirolinas y lianas. La Gran Explanada es una plaza dividida en 2 auditorios con gradas. Las Carpas del Parc del Forum son edificios de actividades. La Plaza Fotovoltaica esta junto al puerto y tiene cuartos de baño."
Parque del Clot,41.40847228,2.190015367,Parques y naturaleza,http://www.lameva.barcelona.cat/es/aprovechala/parques-y-jardines/parque-del-clot_92086017160.html,"El parque esta en el barrio del Clot. Esta en la zona que ocupaban antes los talleres de los trenes de Renfe. Este parque une dos partes del barrio que antes estaban separadas por las vias de tren. El parque tiene 4 entradas. Hay una entrada solo con escalera. El resto de las entradas son llanas. Dentro del parque hay un parque para niños, juego de petanca y zonas para perros. Tambien hay una pista de deportes y un fronton. Hay escaleras y rampa para entrar en la pista y el fronton."
Parque del cetro de Poble Nou,41.39727972,2.207470604,Parques y naturaleza,http://www.bcn.cat/parcsijardins,"El parque existe dese el año 2008. Es un diseño del arquitecto frances Jean Nouvel. El parque esta repartido en 3 zonas entre la calle Bilbao, la calle Marroc, Bac de Roda y la Avenida Diagonal. Dentro del parque hay una planta de recogida de basuras. El parque esta rodeado por un muro de arbustos y plantas. Dentro del parque hay mesas de ping pong y parques para niños. La puerta principal de entrada esta en la Avenida Diagonal. El parque tiene un recorrido adaptado para personas en silla de ruedas"
Parque Diagonal Mar,41.40873722,2.215875348,Parques y naturaleza,http://lameva.barcelona.cat/es/aprovechala/parques-y-jardines/parque-de-diagonal-mar_99085102712.html,El parque es de principios del siglo 21. Un gran tubo recorre todo el parque para regarlo. Tambien tiene jardineras colgantes. En el centro del parque hay un lago con patos. Hay un puente de madera para cruzar el lago. El puente tiene una rampa. El parque esta sobre una antigua fabrica y tiene 7 zonas diferentes. Los caminos del parque tienen la forma de raices de un arbol. Hay bancos largos en cada zona que imitan el movimiento de las olas del mar.
Parque de la Pegaso,41.42688805,2.190739286,Parques y naturaleza,http://lameva.barcelona.cat/es/aprovechala/parques-y-jardines/parque-de-la-pegaso_92086017159.html,"El parque esta en el barrio de la Sagrera. Este parque esta en el lugar de la antigua fabrica de camiones Pegaso. El parque tiene varios caminos, un lago y un mirador. El parque tiene 4 entradas. La unica entrada accesible es por la calle Rovira i Virgili. El parque es accesible para personas en silla de ruedas. Solo el mirador tiene escaleras. Hay varios puentes con rampas. "
Mirador del Alcalde,41.36773871,2.169503589,Parques y naturaleza,http://lameva.barcelona.cat/es/aprovechala/parques-y-jardines/jardines-del-mirador-del-alcalde_1338142144.html,El jardin esta junto al Castillo de Montjuic. Desde el mirador hay un vista bonita de la ciudad. Hay un gran mosaico en el suelo del mirador y una fuente llamativa que forman una cascada hasta que el agua llega a un estanque. El mirador tiene varios niveles o alturas. En el nivel 1 esta la entrada con el mosaico en el suelo y el mirador. En el nivel 2 esta el estanque. En el nivel 3 esta la fuente con la cascada. En el nivel 4 hay una plaza. Hay escaleras y rampas para subir y bajar por el mirador.
Paseo Maritimo de Barcelona,41.38251569,2.193920342,Parques y naturaleza,,"El Paseo Maritimo de Barcelona es una de las zonas mas agradables de la ciudad para pasear. Este itinerario tiene una longitud de 8,6 kilometros, esta a discrecion de cada usuario la distancia recorrido que se quiere hacer. El recorrido desde el principio es accesible y bastante regular en silla de rueda. El espacio de circulacion en el paseo es amplio libre de obstaculo, las aceras son anchas para permitir circulacion en doble sentido y giro de 360 grados para las sillas de ruedas."
Teatre Coliseum,41.38819697,2.16617938,Teatros,https://es.teatrebarcelona.com/teatre-coliseum,"El Coliseum es un teatro de Barcelona, España. Fue inaugurado en 1923 como sala de exhibicion cinematografica, actividad que mantuvo hasta 2006. Pertenece al Grupo Balaña, actualmente tiene capacidad para 1.689 personas."
El Auditorio,41.39994274,2.185246731,Teatros,http://www.auditori.cat/,"Sala para conciertos, con 3 auditorios de ultima generacion, sede de la orquesta sinfonica de la ciudad."
